text,category,urgency
"No rush, but how can I change my account email.",ACCOUNT,LOW
Please help immediately - i need a refund because the order never arrived.,REFUND,HIGH
I'm having trouble - my payment failed.,PAYMENT,MEDIUM
"No rush, but when will I receive my refund.",REFUND,LOW
"Whenever you get a chance, how do I contact a human representative. Thanks.",OTHER,LOW
I need help - the delivery driver couldn't find my address. Please advise.,DELIVERY,MEDIUM
None of the buttons on the mobile app are responding. Please advise.,TECHNICAL,MEDIUM
I can't update my billing address on my account.,ACCOUNT,MEDIUM
I need this fixed soon - the app crashes every time I open it on my Safari browser. Please fix this ASAP.,TECHNICAL,HIGH
This is unacceptable - my account is locked. I want this escalated immediately.,ACCOUNT,CRITICAL
The wrong amount was charged to my card.,PAYMENT,HIGH
This is really frustrating - my shipment has been sitting at the warehouse for several days. This is affecting my work.,DELIVERY,HIGH
I'm having trouble - i am getting an error on the website. Can someone help?,TECHNICAL,MEDIUM
This is unacceptable - my subscription renewed but I cancelled it last month. I demand an immediate resolution.,PAYMENT,CRITICAL
"Whenever you get a chance, how do I request a refund. Thanks.",REFUND,LOW
Could someone assist - i cannot log into my dashboard. Can someone help?,ACCOUNT,MEDIUM
This is unacceptable - someone else logged into my membership. I want this escalated immediately.,ACCOUNT,CRITICAL
Please help immediately - my payment is stuck processing for 2 days. I need a resolution today.,PAYMENT,HIGH
Please help immediately - i was charged $199 but my order was cancelled. I need a resolution today.,PAYMENT,HIGH
"Just wondering, the refund policy is unclear to me. No hurry.",REFUND,LOW
Quick question - can you refund my subscription for this month. Whenever convenient.,REFUND,LOW
Could someone assist - please help me recover my old profile. Let me know.,ACCOUNT,MEDIUM
Quick question - can I get a copy of my receipt. No hurry.,PAYMENT,LOW
Do you have a loyalty program.,OTHER,LOW
This needs to be resolved right now - i need a refund because the shipment never arrived. I demand an immediate resolution.,REFUND,CRITICAL
Can you refund my subscription for this month. Let me know.,REFUND,MEDIUM
Please help immediately - the wrong amount was charged to my card. Please fix this ASAP.,PAYMENT,HIGH
Could someone assist - i need to update my payment method. Please advise.,PAYMENT,MEDIUM
Can I get a refund instead of store credit. Whenever convenient.,REFUND,LOW
"No rush, but can I change my delivery address.",DELIVERY,LOW
"Whenever you get a chance, where is my package.",DELIVERY,LOW
Please help immediately - i keep getting logged out of my login. I need a resolution today.,ACCOUNT,HIGH
Please help immediately - my refund of $15.75 still hasn't shown up after 10 days.,REFUND,HIGH
"Just wondering, i'm not sure who to contact about this. Thanks.",OTHER,LOW
This is really frustrating - i only received part of my parcel. Please fix this ASAP.,DELIVERY,HIGH
I'm having trouble - payPal payment did not go through. Let me know.,PAYMENT,MEDIUM
I returned my item but haven't been refunded. I need a resolution today.,REFUND,HIGH
Please help immediately - can I speak to a manager.,OTHER,HIGH
I want to update my username. No hurry.,ACCOUNT,LOW
Quick question - can I change my delivery address. Whenever convenient.,DELIVERY,LOW
My refund was sent to the wrong card. I need a resolution today.,REFUND,HIGH
This is urgent - the API keeps returning error code 9001. Please fix this ASAP.,TECHNICAL,HIGH
"No rush, but i'm not sure who to contact about this. Whenever convenient.",OTHER,LOW
Quick question - i have a suggestion for a new feature. No hurry.,OTHER,LOW
Quick question - i need help with something. Whenever convenient.,OTHER,LOW
My delivery has been sitting at the warehouse for 10 days. I need a resolution today.,DELIVERY,HIGH
I'm having trouble - the notifications are not working. Let me know.,TECHNICAL,MEDIUM
Could someone assist - please help me recover my old profile.,ACCOUNT,MEDIUM
I'm having trouble - the page is not loading.,TECHNICAL,MEDIUM
I need help - i have an issue with my order. Can someone help?,OTHER,MEDIUM
Could someone assist - i have an issue with my order. Can someone help?,OTHER,MEDIUM
"Whenever you get a chance, how long does a refund usually take. Thanks.",REFUND,LOW
This is an emergency - my subscription renewed but I cancelled it last month. This is completely unacceptable and needs fixing NOW.,PAYMENT,CRITICAL
I need this fixed soon - my data disappeared after the update. Please fix this ASAP.,TECHNICAL,HIGH
I keep getting logged out of my profile. Please advise.,ACCOUNT,MEDIUM
This is an emergency - my login was suspended without warning. I want this escalated immediately.,ACCOUNT,CRITICAL
I'm having trouble - i can't verify my email address.,ACCOUNT,MEDIUM
I am extremely upset - someone else logged into my account.,ACCOUNT,CRITICAL
Refund shows processed but I don't see it in my bank.,REFUND,HIGH
I need this fixed soon - the package is missing items. I need a resolution today.,DELIVERY,HIGH
Can you expedite my order. No hurry.,DELIVERY,LOW
This is unacceptable - my data disappeared after the update. This is completely unacceptable and needs fixing NOW.,TECHNICAL,CRITICAL
Could someone assist - i'm seeing a blank screen instead of the dashboard. Can someone help?,TECHNICAL,MEDIUM
I need help - i was only refunded part of the amount. Can someone help?,REFUND,MEDIUM
I'm having trouble - the portal logged me out randomly. Let me know.,TECHNICAL,MEDIUM
I need help - my payment failed. Can someone help?,PAYMENT,MEDIUM
My delivery is stuck in customs.,DELIVERY,MEDIUM
"No rush, but i want to merge two accounts.",ACCOUNT,LOW
I'm having trouble - the portal is not compatible with my Safari browser. Let me know.,TECHNICAL,MEDIUM
"This is an emergency - my refund of $1,200 still hasn't shown up after 5 days. This is completely unacceptable and needs fixing NOW.",REFUND,CRITICAL
URGENT - refund shows processed but I don't see it in my bank. This is completely unacceptable and needs fixing NOW.,REFUND,CRITICAL
Please help immediately - please help me recover my old profile. Please fix this ASAP.,ACCOUNT,HIGH
This is an emergency - my refund was sent to the wrong card.,REFUND,CRITICAL
This is really frustrating - i cannot access my dashboard.,ACCOUNT,HIGH
Please help immediately - payPal payment did not go through.,PAYMENT,HIGH
I keep getting logged out of my dashboard.,ACCOUNT,MEDIUM
This is really frustrating - someone else logged into my user account. Please fix this ASAP.,ACCOUNT,HIGH
I'm having trouble - the discount code did not apply at checkout. Let me know.,PAYMENT,MEDIUM
I need help - my invoice shows an incorrect total. Please advise.,PAYMENT,MEDIUM
There's a bug in the latest update. Thanks.,TECHNICAL,LOW
This is really frustrating - please help me recover my old login. This is affecting my work.,ACCOUNT,HIGH
I'm having trouble - i received the wrong item in my package.,DELIVERY,MEDIUM
Could someone assist - i was billed in the wrong currency. Let me know.,PAYMENT,MEDIUM
I have a question about your privacy policy. Whenever convenient.,OTHER,LOW
Quick question - the discount code did not apply at checkout.,PAYMENT,LOW
Please help immediately - the page is not loading. Please fix this ASAP.,TECHNICAL,HIGH
I'm not sure who to contact about this. Can someone help?,OTHER,MEDIUM
URGENT - i see an unauthorized charge of $12.50 on my account. This is completely unacceptable and needs fixing NOW.,PAYMENT,CRITICAL
I'm having trouble - i keep getting logged out of my login. Can someone help?,ACCOUNT,MEDIUM
I was charged $199 but my order was cancelled. Please fix this ASAP.,PAYMENT,HIGH
Could someone assist - i am getting an error on the website.,TECHNICAL,MEDIUM
Please help immediately - i want to file a complaint. This is affecting my work.,OTHER,HIGH
"Whenever you get a chance, can you expedite my shipment. No hurry.",DELIVERY,LOW
I'm having trouble - i need help with something. Let me know.,OTHER,MEDIUM
Could someone assist - my order has not been delivered. Can someone help?,DELIVERY,MEDIUM
Can I get a refund instead of store credit.,REFUND,MEDIUM
Quick question - the refund policy is unclear to me.,REFUND,LOW
I am extremely upset - refund shows processed but I don't see it in my bank. I want this escalated immediately.,REFUND,CRITICAL
Could someone assist - my payment failed. Can someone help?,PAYMENT,MEDIUM
I'm having trouble - please help me recover my old login. Please advise.,ACCOUNT,MEDIUM
This is really frustrating - i want a refund for my order. I need a resolution today.,REFUND,HIGH
Could someone assist - my payment is stuck processing for 5 days. Let me know.,PAYMENT,MEDIUM
Could someone assist - can I get a refund instead of store credit. Can someone help?,REFUND,MEDIUM
"Just wondering, can you help me. No hurry.",OTHER,LOW
Someone else logged into my membership. I need a resolution today.,ACCOUNT,HIGH
"No rush, but i have a general question. Whenever convenient.",OTHER,LOW
"Just wondering, i need information about your terms of service. Thanks.",OTHER,LOW
Could someone assist - i'm not sure who to contact about this. Can someone help?,OTHER,MEDIUM
I need help - images are not loading on the mobile app. Please advise.,TECHNICAL,MEDIUM
I'm having trouble - images are not loading on the mobile app.,TECHNICAL,MEDIUM
I need this fixed soon - my card was declined. Please fix this ASAP.,PAYMENT,HIGH
I'm having trouble - my payment failed. Let me know.,PAYMENT,MEDIUM
This is urgent - my payment failed. I need a resolution today.,PAYMENT,HIGH
Images are not loading on the portal. Whenever convenient.,TECHNICAL,LOW
Please help immediately - my package is stuck in customs. This is affecting my work.,DELIVERY,HIGH
I have a general question. No hurry.,OTHER,LOW
"No rush, but i need to reschedule my delivery. Thanks.",DELIVERY,LOW
I'm having trouble - can I get a refund instead of store credit.,REFUND,MEDIUM
"Just wondering, the discount code did not apply at checkout. No hurry.",PAYMENT,LOW
The API keeps returning 404. Please fix this ASAP.,TECHNICAL,HIGH
I have a suggestion for a new feature. Thanks.,OTHER,LOW
This is an emergency - the website is completely down. This is completely unacceptable and needs fixing NOW.,TECHNICAL,CRITICAL
"No rush, but i'm not sure who to contact about this. No hurry.",OTHER,LOW
This is really frustrating - my delivery arrived damaged.,DELIVERY,HIGH
"Whenever you get a chance, do you offer gift cards. Whenever convenient.",OTHER,LOW
This is really frustrating - my card was declined. Please fix this ASAP.,PAYMENT,HIGH
URGENT - my refund of $199 still hasn't shown up after several days.,REFUND,CRITICAL
Could someone assist - i can't upload files on the system. Please advise.,TECHNICAL,MEDIUM
Please help me recover my old account. Please fix this ASAP.,ACCOUNT,HIGH
"Just wondering, how long does a refund usually take. Thanks.",REFUND,LOW
Quick question - i need to reschedule my delivery.,DELIVERY,LOW
My parcel is stuck in customs. Let me know.,DELIVERY,MEDIUM
This is really frustrating - my delivery is stuck in customs.,DELIVERY,HIGH
This is urgent - i can't upload files on the platform.,TECHNICAL,HIGH
Someone else logged into my account.,ACCOUNT,HIGH
I need help - i need to reset my password. Let me know.,ACCOUNT,MEDIUM
I need this fixed soon - i have not received my refund. This is affecting my work.,REFUND,HIGH
This is an emergency - my shipment #84341 shows delivered but I never received it. I want this escalated immediately.,DELIVERY,CRITICAL
Please help immediately - the order has not arrived yet. Please fix this ASAP.,DELIVERY,HIGH
Could someone assist - i cannot access my membership.,ACCOUNT,MEDIUM
I was only refunded part of the amount. Can someone help?,REFUND,MEDIUM
This is urgent - i want to cancel my order and get a refund. I need a resolution today.,REFUND,HIGH
This is urgent - my data disappeared after the update. Please fix this ASAP.,TECHNICAL,HIGH
"Just wondering, do you ship internationally. Thanks.",OTHER,LOW
I need this fixed soon - my order is stuck in customs. I need a resolution today.,DELIVERY,HIGH
I'm having trouble - the checkout page keeps rejecting my card. Let me know.,PAYMENT,MEDIUM
Could someone assist - can I get a refund instead of store credit. Let me know.,REFUND,MEDIUM
Could someone assist - none of the buttons on the app are responding. Let me know.,TECHNICAL,MEDIUM
I'm having trouble - i can't update my billing address on my account.,ACCOUNT,MEDIUM
Quick question - the discount code did not apply at checkout. Whenever convenient.,PAYMENT,LOW
Can you refund my subscription for this month. Please advise.,REFUND,MEDIUM
"No rush, but there's a bug in the latest update. Thanks.",TECHNICAL,LOW
Please help immediately - i want a refund for my order.,REFUND,HIGH
This is urgent - my card was declined. I need a resolution today.,PAYMENT,HIGH
Could someone assist - the checkout page keeps rejecting my card.,PAYMENT,MEDIUM
Could someone assist - i was charged a restocking fee I wasn't told about. Can someone help?,REFUND,MEDIUM
This needs to be resolved right now - i want to dispute a charge and request a refund. This is completely unacceptable and needs fixing NOW.,REFUND,CRITICAL
Could someone assist - the app is very slow.,TECHNICAL,MEDIUM
I need this fixed soon - i want to dispute a charge and request a refund. Please fix this ASAP.,REFUND,HIGH
"No rush, but can I change my delivery address. Whenever convenient.",DELIVERY,LOW
Could someone assist - payment is not going through. Let me know.,PAYMENT,MEDIUM
The order has not arrived yet. Please advise.,DELIVERY,MEDIUM
I need this fixed soon - i cannot log into my membership. This is affecting my work.,ACCOUNT,HIGH
I need help - i can't upload files on the platform.,TECHNICAL,MEDIUM
"No rush, but do you offer gift cards. Thanks.",OTHER,LOW
Please help immediately - i was charged a restocking fee I wasn't told about. I need a resolution today.,REFUND,HIGH
I'm having trouble - my membership shows the wrong information. Please advise.,ACCOUNT,MEDIUM
This is urgent - the courier never showed up.,DELIVERY,HIGH
This is unacceptable - my shipment was left at the wrong address. This is completely unacceptable and needs fixing NOW.,DELIVERY,CRITICAL
My user account shows the wrong information. Can someone help?,ACCOUNT,MEDIUM
This is unacceptable - my refund was sent to the wrong card. I want this escalated immediately.,REFUND,CRITICAL
Quick question - there's a bug in the latest update. No hurry.,TECHNICAL,LOW
"Could someone assist - i returned the wrong item by mistake, can I still get a refund. Can someone help?",REFUND,MEDIUM
This is really frustrating - none of the buttons on the system are responding. This is affecting my work.,TECHNICAL,HIGH
Could someone assist - my subscription is linked to the wrong login. Please advise.,ACCOUNT,MEDIUM
Could someone assist - can you refund my subscription for this month. Please advise.,REFUND,MEDIUM
"Whenever you get a chance, can I get a refund instead of store credit. Thanks.",REFUND,LOW
This is really frustrating - the tracking hasn't updated in 2 days.,DELIVERY,HIGH
My package is stuck in customs. Please advise.,DELIVERY,MEDIUM
I need this fixed soon - the tracking hasn't updated in 10 days. This is affecting my work.,DELIVERY,HIGH
I'm having trouble - please help me recover my old dashboard. Let me know.,ACCOUNT,MEDIUM
I'm having trouble - i want to file a complaint. Can someone help?,OTHER,MEDIUM
Quick question - i forgot my password for my membership. Whenever convenient.,ACCOUNT,LOW
Could someone assist - i'm being charged a fee I don't recognize. Please advise.,PAYMENT,MEDIUM
I need help - the order has not arrived yet.,DELIVERY,MEDIUM
This is urgent - i want to file a complaint. I need a resolution today.,OTHER,HIGH
Could someone assist - i never received the verification code.,ACCOUNT,MEDIUM
Quick question - how long does a refund usually take.,REFUND,LOW
Could someone assist - the app logged me out randomly. Can someone help?,TECHNICAL,MEDIUM
I need help - the platform logged me out randomly. Please advise.,TECHNICAL,MEDIUM
"Just wondering, can you refund my subscription for this month. Whenever convenient.",REFUND,LOW
I need help - the discount code did not apply at checkout. Let me know.,PAYMENT,MEDIUM
Quick question - i need to update my payment method.,PAYMENT,LOW
I'm having trouble - my delivery is stuck in customs. Please advise.,DELIVERY,MEDIUM
This is urgent - someone else logged into my account. I need a resolution today.,ACCOUNT,HIGH
"Whenever you get a chance, images are not loading on the system. No hurry.",TECHNICAL,LOW
The checkout page keeps rejecting my card. Please fix this ASAP.,PAYMENT,HIGH
Please help immediately - my data disappeared after the update. Please fix this ASAP.,TECHNICAL,HIGH
Quick question - is there a student discount available.,OTHER,LOW
"Whenever you get a chance, i need information about your terms of service. Whenever convenient.",OTHER,LOW
The platform is not compatible with my desktop. Please advise.,TECHNICAL,MEDIUM
Could someone assist - how do I request a refund. Please advise.,REFUND,MEDIUM
I need help - the page is not loading. Let me know.,TECHNICAL,MEDIUM
URGENT - my refund was sent to the wrong card. This is completely unacceptable and needs fixing NOW.,REFUND,CRITICAL
I'm having trouble - i only received part of my delivery. Let me know.,DELIVERY,MEDIUM
This is urgent - i was charged a restocking fee I wasn't told about.,REFUND,HIGH
I need this fixed soon - my package arrived damaged. I need a resolution today.,DELIVERY,HIGH
I'm having trouble - i never received the verification code. Let me know.,ACCOUNT,MEDIUM
The courier never showed up. Let me know.,DELIVERY,MEDIUM
"Just wondering, i need information about your terms of service. No hurry.",OTHER,LOW
Please help immediately - i cannot log into my user account. This is affecting my work.,ACCOUNT,HIGH
I am extremely upset - the application keeps crashing.,TECHNICAL,CRITICAL
How do I request a refund. Thanks.,REFUND,LOW
I never received the verification code.,ACCOUNT,MEDIUM
I need help - i want to file a complaint. Can someone help?,OTHER,MEDIUM
This needs to be resolved right now - i need a refund because the parcel never arrived. This is completely unacceptable and needs fixing NOW.,REFUND,CRITICAL
This is really frustrating - i can't upload files on the platform. I need a resolution today.,TECHNICAL,HIGH
My order has not been delivered. I need a resolution today.,DELIVERY,HIGH
This is urgent - the package is missing items. I need a resolution today.,DELIVERY,HIGH
"Just wondering, the discount code did not apply at checkout.",PAYMENT,LOW
Please help immediately - i keep getting 403 when I try to log in.,TECHNICAL,HIGH
This is an emergency - my refund of $89.00 still hasn't shown up after several days.,REFUND,CRITICAL
This is really frustrating - none of the buttons on the website are responding. I need a resolution today.,TECHNICAL,HIGH
The search feature is broken.,TECHNICAL,MEDIUM
This is an emergency - my order was left at the wrong address. This is completely unacceptable and needs fixing NOW.,DELIVERY,CRITICAL
I have a general question. Thanks.,OTHER,LOW
I'm having trouble - none of the buttons on the system are responding. Let me know.,TECHNICAL,MEDIUM
This is urgent - my payment failed. This is affecting my work.,PAYMENT,HIGH
My refund of $5.99 still hasn't shown up after a week.,REFUND,HIGH
I am extremely upset - my subscription renewed but I cancelled it last month. I want this escalated immediately.,PAYMENT,CRITICAL
I'm having trouble - the app is very slow. Can someone help?,TECHNICAL,MEDIUM
Could someone assist - images are not loading on the website. Please advise.,TECHNICAL,MEDIUM
I need this fixed soon - the API keeps returning 403. I need a resolution today.,TECHNICAL,HIGH
I'm having trouble - the search feature is broken. Let me know.,TECHNICAL,MEDIUM
"Whenever you get a chance, i want to unsubscribe from marketing emails. Thanks.",OTHER,LOW
I need this fixed soon - the API keeps returning 502. This is affecting my work.,TECHNICAL,HIGH
I need help - i want to file a complaint. Let me know.,OTHER,MEDIUM
I'm having trouble - can I speak to a manager.,OTHER,MEDIUM
Could someone assist - my payment failed. Let me know.,PAYMENT,MEDIUM
Please help immediately - i cannot log into my dashboard. This is affecting my work.,ACCOUNT,HIGH
Please help immediately - my refund request was denied and I don't understand why.,REFUND,HIGH
"Whenever you get a chance, do you offer gift cards. No hurry.",OTHER,LOW
None of the buttons on the website are responding. Can someone help?,TECHNICAL,MEDIUM
This is urgent - can I speak to a manager. Please fix this ASAP.,OTHER,HIGH
I need this fixed soon - i cannot log into my login. I need a resolution today.,ACCOUNT,HIGH
This needs to be resolved right now - my refund of $12.50 still hasn't shown up after a week. This is completely unacceptable and needs fixing NOW.,REFUND,CRITICAL
"Just wondering, i want to switch my payment method to a different card. Whenever convenient.",PAYMENT,LOW
"No rush, but can you help me. Thanks.",OTHER,LOW
I'm having trouble - the search feature is broken.,TECHNICAL,MEDIUM
I'm having trouble - i was only refunded part of the amount. Can someone help?,REFUND,MEDIUM
I need help - i need to update my payment method. Can someone help?,PAYMENT,MEDIUM
Can I speak to a manager. Please fix this ASAP.,OTHER,HIGH
I'm having trouble - i need to change the delivery date for #24371.,DELIVERY,MEDIUM
I'm having trouble - i need to reset my password. Please advise.,ACCOUNT,MEDIUM
"This is an emergency - i was charged $1,200 but my order was cancelled. I want this escalated immediately.",PAYMENT,CRITICAL
"Whenever you get a chance, the refund policy is unclear to me.",REFUND,LOW
This needs to be resolved right now - i have not received my refund. This is completely unacceptable and needs fixing NOW.,REFUND,CRITICAL
I need help - where is my package. Let me know.,DELIVERY,MEDIUM
Could someone assist - i need to update my payment method. Let me know.,PAYMENT,MEDIUM
I'm having trouble - my parcel has been sitting at the warehouse for 2 days.,DELIVERY,MEDIUM
"Just wondering, how do I delete my login. No hurry.",ACCOUNT,LOW
"No rush, but the notifications are not working. Whenever convenient.",TECHNICAL,LOW
I'm having trouble - i want to file a complaint. Let me know.,OTHER,MEDIUM
"No rush, but do you ship internationally.",OTHER,LOW
I need this fixed soon - none of the buttons on the mobile app are responding. I need a resolution today.,TECHNICAL,HIGH
Quick question - do you offer gift cards. No hurry.,OTHER,LOW
I can't upload files on the mobile app. Can someone help?,TECHNICAL,MEDIUM
I need help - my package has been sitting at the warehouse for a week.,DELIVERY,MEDIUM
This is really frustrating - i have not received my refund. I need a resolution today.,REFUND,HIGH
"Just wondering, i need information about your terms of service.",OTHER,LOW
I need this fixed soon - i keep getting null pointer exception when I try to log in. This is affecting my work.,TECHNICAL,HIGH
The page is not loading. Let me know.,TECHNICAL,MEDIUM
The app logged me out randomly. Can someone help?,TECHNICAL,MEDIUM
Could someone assist - i'm seeing a blank screen instead of the dashboard. Let me know.,TECHNICAL,MEDIUM
"Just wondering, can I get a copy of my receipt.",PAYMENT,LOW
I'm having trouble - the courier never showed up. Let me know.,DELIVERY,MEDIUM
This is urgent - the page is not loading. This is affecting my work.,TECHNICAL,HIGH
I need this fixed soon - my user account was suspended without warning. Please fix this ASAP.,ACCOUNT,HIGH
The application keeps crashing. I need a resolution today.,TECHNICAL,HIGH
Can I speak to a manager. Can someone help?,OTHER,MEDIUM
I'm having trouble - my saved card is not showing up anymore.,PAYMENT,MEDIUM
Please help immediately - none of the buttons on the mobile app are responding.,TECHNICAL,HIGH
"No rush, but how do I contact a human representative. Whenever convenient.",OTHER,LOW
This is really frustrating - i cannot access my account. This is affecting my work.,ACCOUNT,HIGH
The mobile app logged me out randomly. Let me know.,TECHNICAL,MEDIUM
"No rush, but i need information about your terms of service.",OTHER,LOW
Please help immediately - my parcel arrived damaged. This is affecting my work.,DELIVERY,HIGH
This is an emergency - i have not received my refund.,REFUND,CRITICAL
